CLK| ON | Rin | Gin | Bin | Bin | Length In ||| Rout | Gout | Bout | BC | Length    | POUT | PWARN |
---+----+-----+-----+-----+-----+-----------+++------+------+------+----+-----------+------+-------+
 x |  x |   x |   x |   x |  x  | x. x m    |||   x  |   x  |   x  |  x | x. x m    |   x  | x     |
 0 |  0 |   x |   x |   x |  x  | x. x m    |||   x  |   x  |   x  |  x | x. x m    |   0  | 1     |
 0 |  0 |   x |   x |   x |  x  | x. x m    |||   0  |   0  |   0  |  0 | 0. 0 m    |   0  | 1     |
Lightsaber on, recharging...
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    |||   0  |   0  |   0  |  0 | 0. 0 m    |   1  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |   2  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |   3  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |   4  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |   5  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |   6  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |   7  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |   8  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |   9  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  10  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  11  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  12  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  13  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  14  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  15  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  16  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  17  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  18  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  19  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  20  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  21  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  22  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  23  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  24  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  25  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  26  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  27  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  28  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  29  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  30  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  31  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  32  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  33  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  34  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  35  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  36  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  37  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  38  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  39  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  40  | 1     |
 1 |  1 | 255 |  47 |   3 |  3  | 1.50 m    ||| 255  |  47  |   3  |  3 | 1.50 m    |  41  | 1     |
